age,balance,housing,loan,duration,campaign,y,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,poutcome_other,poutcome_success,poutcome_unknown
58,2143,1,0,261,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True
44,29,1,0,151,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True
33,2,1,1,76,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True
47,1506,1,0,92,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
33,1,0,0,198,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True
35,231,1,0,139,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True
28,447,1,1,217,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True
42,2,1,0,380,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True
58,121,1,0,50,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True
43,593,1,0,55,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True
41,270,1,0,222,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
29,390,1,0,137,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
53,6,1,0,517,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True
58,71,1,0,71,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True
57,162,1,0,174,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True
51,229,1,0,353,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True
45,13,1,0,98,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
57,52,1,0,38,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
60,60,1,0,219,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True
33,0,1,0,54,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True
28,723,1,1,262,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
56,779,1,0,164,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True
32,23,1,1,160,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
25,50,1,0,342,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True
40,0,1,1,181,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True
44,-372,1,0,172,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39,255,1,0,296,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True
52,113,1,1,127,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True
46,-246,1,0,255,2,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True
36,265,1,1,348,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True
57,839,0,1,225,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True
49,378,1,0,230,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True
60,39,1,1,208,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
59,0,1,0,226,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
51,10635,1,0,336,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True
